Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Caller","_RTC_CheckEsp","std::_Generic_error_category::~_Generic_error_category",3,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_Iostream_error_category::_Iostream_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_Iostream_error_category::~_Iostream_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_System_error_category::_System_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_System_error_category::~_System_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::_Sentry_base",128,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::~_Sentry_base",128,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::basic_ostream<char,std::char_traits<char> >::sentry::~sentry",96,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::basic_ostream<char,std::char_traits<char> >::sentry::sentry",128,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::char_traits<char>::length",5,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::endl<char,std::char_traits<char> >",40,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::operator<<<std::char_traits<char> >",189,0.03,0.03,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::operator<<<std::char_traits<char> >",35,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::~String",2,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::allocate",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::append",7,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::print",4,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::String",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::String",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","_RTC_CheckStackVars","_RTC_CheckStackVars",33,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
