Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Callee","__tmainCRTStartup","`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","exit",1,0.27,0.25,0.02,0.02,"MSVCR120D.dll",
"Callee","__tmainCRTStartup","main",1,96.87,0.03,7.74,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","pre_c_init",1,0.16,0.00,0.01,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","pre_cpp_init",1,0.27,0.00,0.02,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","std::`dynamic initializer for 'allocator_arg''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","std::`dynamic initializer for 'piecewise_construct''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","_CrtSetCheckCount","_CrtSetCheckCount",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"Caller","_CrtSetCheckCount","__tmainCRTStartup",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","_invoke_watson_if_error","_invoke_watson_if_error",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_invoke_watson_if_error","_setdefaultprecision",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","_onexit","_onexit",4,0.07,0.07,0.00,0.00,"MSVCR120D.dll",
"Caller","_onexit","_onexit",4,0.07,0.07,0.00,0.00,"ConsoleApplication2.exe",
"Root","_onexit","_onexit",4,0.08,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_onexit","atexit",4,0.08,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","_onexit","_onexit",4,0.07,0.07,0.00,0.00,"MSVCR120D.dll",
"Callee","_onexit","RtlDecodePointer",4,0.01,0.01,0.00,0.00,"ntdll.dll",
"Root","_RTC_CheckEsp","_RTC_CheckEsp","1,353",0.16,0.16,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
